날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2026-03-06,20763.63,19995,20860,19525,20685,115584,2348777663,2060.23
2026-03-09,19969.84,19605,20050,19250,19935,50217,986341757,1981.25
2026-03-10,20348.39,21225,21225,20110,20280,168240,3449917709,2018.97
2026-03-11,19986.22,20615,20700,19695,19915,140663,2873551172,1982.87
2026-03-12,20075.23,19775,20135,19600,20020,58637,1164271205,1991.83
2026-03-13,20179.63,19525,20230,19435,20110,41462,827837726,2001.81
2026-03-16,19913.85,20115,20200,19545,19825,12599,251052300,1975.3
2026-03-17,19907.0,20295,20310,19850,19850,23748,478679842,1974.53
2026-03-18,20483.08,20170,20425,20095,20410,20989,424790180,2031.86
2026-03-19,20077.63,19950,20190,19925,19970,17120,343208455,1991.55
2026-03-20,20409.46,20185,20460,20035,20305,54467,1102692660,2023.33
2026-03-23,19236.76,19690,19730,19105,19175,121713,2366641818,1906.64
2026-03-24,19743.81,19885,19910,19270,19585,79369,1569094255,1957.09
2026-03-25,20429.23,19950,20395,19940,20300,20228,408736872,2025.34
2026-03-26,19998.09,20560,20657,19885,19885,16027,324889495,1981.35
2026-03-27,20119.21,19570,20110,19295,20055,10634,209589668,1993.32
2026-03-30,19508.74,19310,19550,19210,19450,13247,256121530,1931.93
2026-03-31,18442.81,19320,19320,18215,18385,35004,658056184,1826.22
2026-04-01,19518.27,19140,19615,19040,19465,19533,376886338,1932.85
2026-04-02,18313.28,19805,19805,17940,18465,20961,396891446,1813.42
2026-04-03,18363.99,18590,18740,18150,18340,7679,141493987,1818.37
2026-04-06,18116.27,18400,18640,18025,18035,8329,152672460,1793.82
2026-04-07,18016.37,18270,18570,17795,17915,6929,125551745,1783.8
2026-04-08,18987.19,18885,19125,18670,18930,22198,418307820,1880.14
2026-04-09,18736.29,18930,19255,18500,18635,6426,120043795,1855.33
2026-04-10,18852.47,18985,18985,18710,18800,1862,35042435,1866.95
2026-04-13,18842.7,18380,18825,18380,18765,6674,124078290,1865.89
2026-04-14,19010.38,19240,19240,18905,18910,7872,150202765,1882.54
2026-04-15,19701.1,19215,19755,19210,19660,15511,302465937,1951.02
2026-04-16,19860.33,19820,19940,19725,19775,3667,72658022,1966.82
2026-04-17,19860.24,19815,19840,19645,19790,5269,104313610,1966.83
2026-04-20,20020.06,19790,20225,19630,19995,12004,238187217,1982.68
2026-04-21,20206.55,20110,20170,20040,20165,57102,1146982245,2001.17
2026-04-22,20166.41,20125,20125,19700,20085,14102,280724740,1997.22
2026-04-23,20015.62,20210,20210,19595,19965,14267,283961957,1982.3
2026-04-24,20591.78,20015,20545,19930,20545,10060,205152031,2039.41
